model,feature,beta
OLS,ml_light_random_forest_vote,0.0006743548892577629
OLS,stat_hurst_120,0.0007590561094305438
OLS,ts_drawdown_vol_gate_20,0.0010696950472447683
OLS,micro_lag_revert_1,0.0008777384252944025
OLS,ts_drawdown_vol_gate_60,-0.00017498093795557137
Ridge,ml_light_random_forest_vote,0.0006735078280375442
Ridge,stat_hurst_120,0.0007569684750154559
Ridge,ts_drawdown_vol_gate_20,0.0010668580351236437
Ridge,micro_lag_revert_1,0.0008762066879523422
Ridge,ts_drawdown_vol_gate_60,-0.00017412178086522373
Lasso,ml_light_random_forest_vote,0.0
Lasso,stat_hurst_120,0.0
Lasso,ts_drawdown_vol_gate_20,0.0
Lasso,micro_lag_revert_1,0.0
Lasso,ts_drawdown_vol_gate_60,0.0
WeightedVoting,ml_light_random_forest_vote,0.22192636278643488
WeightedVoting,stat_hurst_120,0.19714087189541996
WeightedVoting,ts_drawdown_vol_gate_20,0.19706213280004117
WeightedVoting,micro_lag_revert_1,0.19202597843962085
WeightedVoting,ts_drawdown_vol_gate_60,0.19184465407847953
