strategy,parameter_template,sharpe,cagr,drawdown,param_1,param_2,param_3
mr_rsi_20_80_20,mr_rsi_{p}_{p}_{p},0.24088557975184738,0.01850194987327658,-0.2338504056997065,20.0,80.0,20.0
mr_rsi_14_80_20,mr_rsi_{p}_{p}_{p},0.22758404762469894,0.021893928109439686,-0.2338504056997065,14.0,80.0,20.0
mr_rsi_30_70_30,mr_rsi_{p}_{p}_{p},-0.07213697907809585,-0.025433928463850397,-0.42738493341756234,30.0,70.0,30.0
mr_rsi_14_70_30,mr_rsi_{p}_{p}_{p},-0.18957056981432363,-0.05733794316124652,-0.5391623208103005,14.0,70.0,30.0
mr_rsi_5_70_30,mr_rsi_{p}_{p}_{p},-0.22770132838407478,-0.09629768971012176,-0.78448452170427,5.0,70.0,30.0
mr_rsi_10_70_30,mr_rsi_{p}_{p}_{p},-0.25526580355423706,-0.07709606663218871,-0.6518805620229243,10.0,70.0,30.0
mr_rsi_30_65_35,mr_rsi_{p}_{p}_{p},-0.3004482390794429,-0.0945980364400596,-0.6160456389975912,30.0,65.0,35.0
mr_rsi_20_65_35,mr_rsi_{p}_{p}_{p},-0.30336383628632746,-0.10025253596781414,-0.7357750218134497,20.0,65.0,35.0
mr_rsi_5_65_35,mr_rsi_{p}_{p}_{p},-0.33696371635875966,-0.1395241175837707,-0.8593637626090811,5.0,65.0,35.0
mr_rsi_20_70_30,mr_rsi_{p}_{p}_{p},-0.33950362025036135,-0.07931379803719463,-0.5634168535762204,20.0,70.0,30.0
mr_rsi_10_65_35,mr_rsi_{p}_{p}_{p},-0.47351091651803406,-0.1459825482149758,-0.8297373019987896,10.0,65.0,35.0
mr_rsi_14_65_35,mr_rsi_{p}_{p}_{p},-0.499572203861557,-0.14507837287231184,-0.7980603846982482,14.0,65.0,35.0
time_month_05_1,time_month_{p}_{p},0.42091625692147033,0.04213065368527302,-0.16652137488006935,5.0,1.0,
time_month_09_1,time_month_{p}_{p},0.37662828879223836,0.03354529246969218,-0.24818425721396553,9.0,1.0,
time_month_12_1,time_month_{p}_{p},0.33166997040564744,0.025167970629674574,-0.1870167525773202,12.0,1.0,
time_month_06_1,time_month_{p}_{p},0.32612508452669403,0.026181289268979224,-0.163164903702107,6.0,1.0,
time_month_08_1,time_month_{p}_{p},0.23639023116080585,0.016630757245954975,-0.13960401436645165,8.0,1.0,
time_month_07_-1,time_month_{p}_{p},0.1763302731495169,0.01272435578213682,-0.19204618551611274,7.0,-1.0,
time_month_11_-1,time_month_{p}_{p},0.1523485267597096,0.01077850325303431,-0.28740379803910865,11.0,-1.0,
time_month_10_-1,time_month_{p}_{p},0.03722105275782911,-0.00039178470142120503,-0.2029547903178357,10.0,-1.0,
time_month_10_1,time_month_{p}_{p},-0.0438527120374124,-0.007176811453424858,-0.20753708892354084,10.0,1.0,
time_month_11_1,time_month_{p}_{p},-0.15744453412469048,-0.023041859932149356,-0.34323696408155224,11.0,1.0,
time_month_07_1,time_month_{p}_{p},-0.18196759367547105,-0.022753076598846733,-0.32558694808115884,7.0,1.0,
time_month_08_-1,time_month_{p}_{p},-0.24290301472445663,-0.023996537333388912,-0.23932173106804766,8.0,-1.0,
time_month_06_-1,time_month_{p}_{p},-0.3320545452789148,-0.03434679512810612,-0.3647434763315337,6.0,-1.0,
time_month_12_-1,time_month_{p}_{p},-0.33813700615886894,-0.03230363262913705,-0.3530928866552073,12.0,-1.0,
time_month_09_-1,time_month_{p}_{p},-0.38211854511700133,-0.042811888103830076,-0.37242011989162127,9.0,-1.0,
time_month_05_-1,time_month_{p}_{p},-0.4262461460486056,-0.05318249226553118,-0.45721865471109957,5.0,-1.0,
vol_highmr_60_10_0.6,vol_highmr_{p}_{p}_{p},0.18739884398079287,0.007397864251615038,-0.7167923562186005,60.0,10.0,0.6
vol_highmr_60_10_0.4,vol_highmr_{p}_{p}_{p},0.14781285595087149,-0.0008087416238532485,-0.7194393351711766,60.0,10.0,0.4
vol_highmr_60_10_0.5,vol_highmr_{p}_{p}_{p},0.06363428832189857,-0.02945020266696563,-0.7260210958619753,60.0,10.0,0.5
vol_highmr_60_20_0.5,vol_highmr_{p}_{p}_{p},0.06061939141640944,-0.0286669131027103,-0.7167923562186003,60.0,20.0,0.5
vol_highmr_60_20_0.4,vol_highmr_{p}_{p}_{p},0.04884308894362145,-0.027748898503071717,-0.7167923562186003,60.0,20.0,0.4
vol_highmr_20_10_0.6,vol_highmr_{p}_{p}_{p},0.029133694562696013,-0.04357649059864044,-0.7906046218361154,20.0,10.0,0.6
vol_highmr_60_60_0.4,vol_highmr_{p}_{p}_{p},0.009792851582863533,-0.03728142442369464,-0.6646911438667868,60.0,60.0,0.4
vol_highmr_60_60_0.5,vol_highmr_{p}_{p}_{p},-0.007631661380373132,-0.04521611395219782,-0.7075114976812986,60.0,60.0,0.5
vol_highmr_60_20_0.6,vol_highmr_{p}_{p}_{p},-0.023075444317733073,-0.05852348624526382,-0.7222940176907837,60.0,20.0,0.6
vol_highmr_120_60_0.4,vol_highmr_{p}_{p}_{p},-0.027103782765547403,-0.047287189207676494,-0.6564016536103883,120.0,60.0,0.4
vol_highmr_20_10_0.4,vol_highmr_{p}_{p}_{p},-0.05173676264808991,-0.05828623065486638,-0.7110172091856699,20.0,10.0,0.4
vol_highmr_20_10_0.5,vol_highmr_{p}_{p}_{p},-0.05668503626737105,-0.0658023815121157,-0.7752234191730741,20.0,10.0,0.5
